,Tokenize,Detokenize
2025-06-25,10303,1178004
2025-06-26,14314,1235328
2025-06-27,4456,883382
2025-06-28,5157,786426
2025-06-29,2162,278816
2025-06-30,9638,1080747
2025-07-01,27166,1426929
2025-07-02,11763,1439472
2025-07-03,16118,1624336
2025-07-04,12013,1319673
2025-07-05,6704,927136
2025-07-06,3026,320487
2025-07-07,11453,1177325
2025-07-08,17227,1226334
2025-07-09,86790,87489
2025-07-10,12288,118109
2025-07-11,24251,1027027
2025-07-12,6248,887942
2025-07-13,1676,280561
2025-07-14,105122,1744479
2025-07-15,18330120,1798699
2025-07-16,25577913,1734553
2025-07-17,14343758,1649302
2025-07-18,15497962,1986545
2025-07-19,7720198,187777
2025-07-20,2291,9915
2025-07-21,18259485,127803
2025-07-22,15455,316173
2025-07-23,33514,312169
2025-07-24,1265032,307207
